date,vac_statut,nb_pcr,nb_pcr_sympt,nb_pcr0,nb_pcr_sympt0,hc,hc_pcr,sc,sc_pcr,dc,dc_pcr,pourcent_parmi_vaccines
2022-01-05,Complet - avec 1 rappel de 6 mois ou plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,Complet de moins de 3 mois - sans rappel,24102.02,6212.8,6393.87,2947.75,84.93,65.9,9.32,8.4,3.17,2.92,5.16
2022-01-06,Complet de 6 mois ou plus - sans rappel,51169.03,14930.62,16730.48,7858.6,223.42,177.26,41.82,32.27,28.79,21.59,9.86
2022-01-07,Complet - avec 1 rappel de 6 mois ou plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,Complet de 6 mois ou plus - sans rappel,7986.21,1768.92,2483.72,939.39,155.44,124.83,29.67,25.98,34.97,30.14,10.72
2022-01-09,Complet - avec 2 rappels entre 3 mois et 6 mois,2.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,Non-vaccinés,120017.72,29153.23,38318.96,16138.56,807.84,599.3,147.79,109.74,111.21,84.63,
2022-01-13,Primo dose récente,2780.62,736.77,929.37,449.53,10.29,7.76,1.02,0.28,0.03,0.0,0.82
2022-01-14,Primo dose récente,2932.9,800.05,1047.04,520.68,15.67,7.47,1.82,1.51,0.14,0.0,0.82
2022-01-15,Complet - avec 1 rappel de 6 mois ou plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-16,Complet entre 3 mois et 6 mois - sans rappel,19039.75,5077.97,7631.5,3312.23,260.92,201.65,39.53,30.74,18.0,12.42,28.9
2022-01-16,Complet - avec 2 rappels entre 3 mois et 6 mois,2.38,0.01,0.1,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-16,Complet - avec 3 rappels de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,Complet - avec 1 rappel entre 3 mois et 6 mois,24696.56,2277.67,3706.95,992.79,182.57,146.11,9.55,8.34,18.49,14.11,3.81
2022-01-17,Complet - avec 3 rappels entre 3 et 6 mois ou plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-20,Complet - avec 2 rappels entre 3 mois et 6 mois,23.24,1.27,4.39,0.24,0.79,0.08,0.0,0.0,0.0,0.0,0.0
2022-01-24,Non-vaccinés,129583.59,45320.12,62118.83,30158.78,859.3,640.16,133.94,100.88,119.9,93.51,
2022-01-24,Complet - avec 1 rappel de moins de 3 mois,222782.13,53422.14,60739.78,28476.04,602.06,485.0,59.02,45.14,47.38,34.51,55.3
2022-01-25,Complet de moins de 3 mois - sans rappel,17050.23,5189.93,5963.21,2990.11,125.95,100.85,11.43,10.45,10.37,9.4,4.36
2022-01-25,Complet - avec 2 rappels de moins de 3 mois,695.78,110.88,144.73,55.97,4.2,3.43,0.24,0.14,0.0,0.0,0.17
