dep,hosp_rate_mean,hosp_rate_max,new_hosp_rate_mean,new_hosp_rate_max,rea_rate_mean,rea_rate_max,icu_pressure_mean,icu_pressure_max,cfr_mean,cfr_max,tx_pos_mean,tx_pos_max,tx_pos_7j_mean,couv_complet_max,couv_complet_lag14_mean,population,is_dom
35,20.8979245026178,46.37,0.28566174004192874,4.02,1.8816994764397905,5.3288,9.335138429319372,50.0,15.032459958071279,22.6415,11.307352614015572,44.25,11.339722813708354,79.9,57.8432545201669,1069657,0
36,27.427589947643977,67.497,0.5575244234800838,10.3495,1.6024969633507855,5.8497,8.36856320754717,40.0,23.033728,100.0,13.158822869955157,100.0,13.124792070554584,82.2,60.253129346314324,222232,0
37,19.211941151832463,41.5364,0.27637945492662475,4.543,3.173510785340314,10.3841,16.62871947643979,50.0,18.10906967471144,100.0,10.396284760845385,50.0,10.414282324275652,81.2,59.12461752433936,616327,0
38,29.180858743455495,86.0127,0.4583019916142558,7.855,2.8625812761506277,10.4472,10.759711413612566,31.1828,17.552015673981188,100.0,12.851935483870967,44.66,12.873662720483075,78.0,57.05118219749653,1273068,0
39,32.1239509947644,107.6541,0.666345073375262,12.8882,1.7432974869109947,6.8231,7.147432460732984,50.0,18.51791789802289,100.0,11.763567447045707,100.0,11.75691183325388,77.3,56.6182197496523,263808,0
40,12.812762722513089,33.8217,0.2752633123689728,4.5901,1.117603560209424,4.3485,12.090154,66.6667,17.98222183544304,24.3902,12.268153503893215,59.46,12.305499682186555,83.8,62.020027816411684,413936,0
41,29.82344554973822,66.5939,0.45965733752620547,5.9459,1.5845450261780105,7.1351,6.092567505241091,21.2121,16.78787255520505,29.1667,12.159409799554565,60.0,12.185100058265798,82.9,60.51335187760779,336367,0
42,37.27570429319371,127.0085,0.4867777777777778,7.7332,4.399015816857441,14.9422,11.557877382198953,37.5,19.11823493222106,100.0,11.457530589543937,42.93,11.443312251708248,76.7,56.28859527121001,762941,0
43,31.89087057591623,106.5869,0.6096659329140461,10.0885,1.4734260732984295,8.7726,6.081191727748691,100.0,14.708638534031413,18.75,12.365837053571429,52.63,12.34687684729064,77.9,57.37524339360223,227983,0
44,10.703131413612565,26.6307,0.2020763102725367,2.7959,1.4934515183246073,4.8928,14.873183455497381,39.726,16.541945968586386,35.9375,11.277308120133481,45.63,11.279062715186186,79.3,57.55549374130737,1430682,0
45,30.54886827225131,56.0301,0.37517494758909853,5.5446,4.460770994764398,11.8188,15.690361361256544,42.3729,15.661968940188878,26.5306,11.678965517241378,47.39,11.66925398591027,77.8,56.44881780250347,685346,0
46,14.646067748691099,43.0493,0.38085974842767295,7.4619,1.386000837696335,5.7399,11.331538793103448,61.5385,17.49524041884817,27.5362,11.783569819819819,100.0,11.766840457651359,78.0,57.5970792767733,174219,0
47,8.514492146596858,26.576,0.23534381551362685,2.5201,1.1087988481675393,4.5821,13.667264293193718,50.0,15.845512879581152,50.0,11.097630700778643,60.0,11.076358625986545,79.3,57.75632823365786,436484,0
48,20.28848376963351,87.6173,0.7426489517819707,19.6384,1.706781884816754,10.5745,6.795651518438177,33.3333,17.990001051524708,27.2727,13.299496487119438,100.0,12.955219741511735,75.3,55.45897079276773,66197,0
49,18.499594659685865,38.9563,0.29805786163522013,4.1262,2.483607015706806,8.2524,13.560963036649214,35.0318,16.11095109947644,21.2254,11.967252502780868,46.86,12.007262805233328,80.1,58.43796940194715,824000,0
